player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,5.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,9.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Coby White,Bulls @ Heat,Heat,Bulls,7.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Draymond Green,Pistons @ Warriors,Warriors,Pistons,4.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Franz Wagner,Magic @ Bucks,Bucks,Magic,9.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,11.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Jalen Duren,Pistons @ Warriors,Warriors,Pistons,4.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Josh Giddey,Bulls @ Heat,Heat,Bulls,6.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Matas Buzelis,Bulls @ Heat,Heat,Bulls,4.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Paolo Banchero,Magic @ Bucks,Bucks,Magic,7.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Stephen Curry,Pistons @ Warriors,Warriors,Pistons,9.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Tobias Harris,Pistons @ Warriors,Warriors,Pistons,5.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Alperen Sengun,Pelicans @ Rockets,Rockets,Pelicans,9.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Amen Thompson,Pelicans @ Rockets,Rockets,Pelicans,6.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Austin Reaves,Lakers @ Celtics,Celtics,Lakers,5.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Brook Lopez,Magic @ Bucks,Bucks,Magic,5.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Cam Thomas,Nets @ Hornets,Hornets,Nets,7.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Cj Mccollum,Pelicans @ Rockets,Rockets,Pelicans,6.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Dalton Knecht,Lakers @ Celtics,Celtics,Lakers,2.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Damian Lillard,Magic @ Bucks,Bucks,Magic,8.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Dangelo Russell,Nets @ Hornets,Hornets,Nets,4.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Dillon Brooks,Pelicans @ Rockets,Rockets,Pelicans,5.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Dorian Finneysmith,Lakers @ Celtics,Celtics,Lakers,2.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Dyson Daniels,Pacers @ Hawks,Hawks,Pacers,6.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jabari Smith,Pelicans @ Rockets,Rockets,Pelicans,4.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jakob Poeltl,Wizards @ Raptors,Raptors,Wizards,6.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jakobe Walter,Wizards @ Raptors,Raptors,Wizards,4.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jalen Green,Pelicans @ Rockets,Rockets,Pelicans,8.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jaxson Hayes,Lakers @ Celtics,Celtics,Lakers,3.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jimmy Butler,Pistons @ Warriors,Warriors,Pistons,6.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Kelly Olynyk,Pelicans @ Rockets,Rockets,Pelicans,3.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Keon Johnson,Nets @ Hornets,Hornets,Nets,4.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Kyle Kuzma,Magic @ Bucks,Bucks,Magic,6.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Lamelo Ball,Nets @ Hornets,Hornets,Nets,8.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Lebron James,Lakers @ Celtics,Celtics,Lakers,9.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,9.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Mark Williams,Nets @ Hornets,Hornets,Nets,6.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Miles Bridges,Nets @ Hornets,Hornets,Nets,9.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Mouhamed Gueye,Pacers @ Hawks,Hawks,Pacers,2.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Onyeka Okongwu,Pacers @ Hawks,Hawks,Pacers,6.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Rj Barrett,Wizards @ Raptors,Raptors,Wizards,8.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Scottie Barnes,Wizards @ Raptors,Raptors,Wizards,8.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Tari Eason,Pelicans @ Rockets,Rockets,Pelicans,5.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Trae Young,Pacers @ Hawks,Hawks,Pacers,8.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Trey Murphy Iii,Pelicans @ Rockets,Rockets,Pelicans,7.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Zaccharie Risacher,Pacers @ Hawks,Hawks,Pacers,4.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Ziaire Williams,Nets @ Hornets,Hornets,Nets,3.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Zion Williamson,Pelicans @ Rockets,Rockets,Pelicans,9.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
